#node HASGPU CARDTYPE Processors RAM(MB) Scratch(MB) CPUConsumptionRatio RAMConsumptionRatio DiskConsumptionRatio CPUUsername GPUUsername
node35-0 NOGPU UNK UNK UNK UNK .8 .8 .8 bdw2292 ANYUSER
node36-0 GPU 3080 20 31000 2700000 .8 .8 .8 bdw2292 bdw2292
node37-0 NOGPU UNK 48 220000 1300000 .8 .8 .8 bdw2292 ANYUSER
node38-0 NOGPU UNK 64 315000 801000 .8 .8 .8 bdw2292 ANYUSER
node40-0 GPU 1070 16 62000 751000 .8 .8 .8 bdw2292 bdw2292
node42-0 GPU 1080 32 62000 825000 .8 .8 .8 bdw2292 bdw2292
node43-0 GPU 1070 32 251000 376000 .8 .8 .8 bdw2292 bdw2292
node44-0 NOGPU UNK 16 251000 1700000 .8 .8 .8 bdw2292 ANYUSER
node45-0 GPU 1080 16 62000 341000 .8 .8 .8 bdw2292 bdw2292
node46-0 GPU 1080 16 62000 322000 .8 .8 .8 bdw2292 bdw2292
node47-0 GPU 1080 16 31000 228000 .8 .8 .8 bdw2292 bdw2292
node48-0 GPU 1070 32 62000 807000 .8 .8 .8 bdw2292 bdw2292
node49-0 GPU 1070 16 31000 850000 .8 .8 .8 bdw2292 bdw2292
node50-0 GPU 1070 16 31000 855000 .8 .8 .8 bdw2292 bdw2292
node51-0 GPU 1080 16 62000 794000 .8 .8 .8 bdw2292 bdw2292
node52-0 GPU 1070 16 62000 831000 .8 .8 .8 bdw2292 bdw2292
node53-0 GPU 1070 16 62000 715000 .8 .8 .8 bdw2292 bdw2292
node54-0 GPU 1080 16 62000 807000 .8 .8 .8 bdw2292 ANYUSER
node55-0 GPU 1080 16 31000 730000 .8 .8 .8 bdw2292 ANYUSER
node56-0 GPU 1070 16 62000 758000 .8 .8 .8 bdw2292 ANYUSER
node57-0 GPU 1070 16 31000 780000 .8 .8 .8 bdw2292 bdw2292
node58-0 GPU 2070 16 62000 300000 .8 .8 .8 bdw2292 bdw2292
#node59-0 GPU 970 16 251000 1900000 .8 .8 .8
node60-0 GPU 2070 8 15000 782000 .8 .2 .8 bdw2292 bdw2292
node60-1 GPU 2070 8 15000 782000 .8 .2 .8 bdw2292 bdw2292
node61-0 GPU 1070 16 62000 699000 .8 .8 .8 bdw2292 ANYUSER
node62-0 GPU 1070 32 62000 763000 .8 .8 .8 bdw2292 bdw2292
node63-0 GPU 1070 16 31000 768000 .8 .8 .8 bdw2292 ANYUSER
node64-0 GPU 1070 16 31000 780000 .8 .8 .8 bdw2292 ANYUSER
node70-0 GPU 2080 16 62000 375000 .8 .8 .8 bdw2292 bdw2292
node71-0 NOGPU UNK 16 251000 859000 .8 .8 .8 bdw2292 bdw2292
#node72-0 GPU 970 16 251000 877000 .8 .8 .8
#node73-0 GPU 970 32 251000 842000 .8 .8 .8
node74-0 GPU 1070 16 62000 305000 .8 .8 .8 bdw2292 bdw2292
node76-0 GPU 1070 16 62000 380000 .8 .8 .8 bdw2292 bdw2292
node77-0 GPU 1070 16 62000 374000 .8 .8 .8 bdw2292 bdw2292
node78-0 GPU 1070 16 62000 244000 .8 .8 .8 bdw2292 bdw2292
node79-0 GPU 1070 16 62000 379000 .8 .8 .8 bdw2292 bdw2292
node80-0 GPU 1070 16 31000 381000 .8 .8 .8 bdw2292 ANYUSER
node81-0 GPU 1070 16 31000 396000 .8 .8 .8 bdw2292 bdw2292
node82-0 GPU 1070 16 31000 332000 .8 .8 .8 bdw2292 ANYUSER
node83-0 GPU 1070 16 62000 810000 .8 .8 .8 bdw2292 bdw2292
node84-0 GPU 1070 16 31000 396000 .8 .8 .8 bdw2292 bdw2292
node85-0 GPU 1070 16 62000 294000 .8 .8 .8 bdw2292 bdw2292
node86-0 GPU 1070 16 31000 396000 .8 .8 .8 ANYUSER ANYUSER
node87-0 GPU 1070 16 31000 730000 .8 .8 .8 bdw2292 ANYUSER
node88-0 GPU 1070 16 31000 377000 .8 .8 .8 bdw2292 ANYUSER
node89-0 GPU 1070 16 31000 389000 .8 .8 .8 bdw2292 ANYUSER
node90-0 GPU 1070 16 31000 289000 .8 .8 .8 bdw2292 ANYUSER
node91-0 GPU 1070 16 31000 394000 .8 .8 .8 bdw2292 ANYUSER
node92-0 GPU 1070 16 31000 396000 .8 .8 .8 bdw2292 ANYUSER
node93-0 GPU 1070 16 31000 320000 .8 .8 .8 bdw2292 ANYUSER
node94-0 GPU 2070 16 31000 UNK .8 .8 .8 bdw2292 bdw2292
node95-0 GPU 1070 16 31000 380000 .8 .8 .8 bdw2292 bdw2292
node96-0 GPU 1070 16 31000 311000 .8 .8 .8 bdw2292 bdw2292
node97-0 GPU 1070 16 31000 304000 .8 .8 .8 bdw2292 bdw2292
node98-0 GPU 1070 16 62000 740000 .8 .8 .8 bdw2292 bdw2292
node99-0 GPU 1070 16 31000 396000 .8 .8 .8 bdw2292 bdw2292
node100-0 GPU 1070 16 31000 385000 .8 .8 .8 bdw2292 bdw2292
node101-0 GPU 1070 16 31000 360000 .8 .8 .8 bdw2292 bdw2292
node142-0 NOGPU UNK 32 251000 590000 .8 .8 .8 bdw2292 ANYUSER
node144-0 NOGPU UNK 32 503000 3500000 .8 .8 .8 bdw2292 ANYUSER
node193-0 GPU 2070 8 15000 859000 .8 .2 .8 bdw2292 ANYUSER
node194-0 GPU 2080 8 15000 867000 .8 .2 .8 bdw2292 bdw2292
node195-0 GPU 2080 8 15000 843000 .8 .2 .8 bdw2292 bdw2292
node201-0 GPU 1070 8 15000 866000 .8 .2 .8 bdw2292 bdw2292
node201-1 GPU 1070 8 15000 866000 .8 .2 .8 bdw2292 bdw2292
node204-0 GPU 1070 4 7000 867000 .8 .2 .8 bdw2292 bdw2292
node210-0 GPU 1070 12 15000 866000 .8 .2 .8 bdw2292 bdw2292
node210-1 GPU 1070 12 15000 866000 .8 .2 .8 bdw2292 bdw2292
node211-0 GPU 2070 12 15000 867000 .8 .2 .8 bdw2292 bdw2292
node211-1 GPU 2070 12 15000 867000 .8 .2 .8 bdw2292 bdw2292
node212-0 GPU 2080 8 31000 780000 .8 .8 .8 bdw2292 bdw2292
node212-1 GPU 2080 8 31000 780000 .8 .8 .8 bdw2292 bdw2292
node215-0 NOGPU UNK 32 125000 531000 .8 .2 .8 bdw2292 bdw2292
#node206-0 GPU GV100 8 62000 843000 .8 .8 .8
bme-black-0 NOGPU UNK UNK UNK UNK .8 .2 .8 bdw2292 bdw2292
#bme-dna-0 GPU 970 32 62000 3600000 .8 .8 .8
#bme-earth-0 NOGPU UNK UNK UNK UNK .8 .2 .8 bdw2292 bdw2292
bme-jupiter-0 GPU 2070 8 15000 866000 .8 .2 .8 bdw2292 bdw2292
#bme-mercury-0 GPU 3070 8 15000 857000 .8 .2 .8 bdw2292 bdw2292
bme-neptune-0 GPU 1070 4 15000 867000 .8 .2 .8 bdw2292 ANYUSER
bme-neptune-1 GPU 1070 4 15000 867000 .8 .2 .8 bdw2292 ANYUSER
#bme-pluto-0 GPU 780 16 23000 3600000 .8 .8 .8
bme-rna-0 GPU 3080 20 31000 825000 .8 .2 .8 bdw2292 bdw2292
#bme-sugar-0 GPU 970 8 11000 869000 .8 .8 .8
bme-saturn-0 GPU 1070 8 15000 348000 .8 .2 .8 bdw2292 ANYUSER
