#node HASGPU CARDTYPE GPUCARDS Processors RAM(MB) Scratch(MB) CPUConsumptionRatio RAMConsumptionRatio DiskConsumptionRatio 
node35 NOGPU UNK 0 UNK UNK UNK .8 .8 .8
node36 GPU 3080 1 20 31000 2700000 .8 .8 .8
node37 NOGPU UNK 0 48 220000 1300000 .8 .8 .8
node38 NOGPU UNK 0 64 315000 877000 .8 .8 .8
node40 GPU 1070 1 16 62000 838000 .8 .8 .8
node42 GPU 1080 1 32 62000 825000 .8 .8 .8
node43 GPU 1070 1 32 251000 334000 .8 .8 .8
node44 NOGPU UNK 0 16 251000 1800000 .8 .8 .8
node45 GPU 1080 1 16 62000 334000 .8 .8 .8
node46 GPU 1080 1 16 62000 322000 .8 .8 .8
node47 GPU 1080 1 16 31000 228000 .8 .8 .8
node48 GPU 1070 1 32 62000 807000 .8 .8 .8
node49 GPU 1070 1 16 31000 850000 .8 .8 .8
node50 GPU 1070 1 16 31000 855000 .8 .8 .8
node51 GPU 1080 1 16 62000 757000 .8 .8 .8
node52 GPU 1070 1 16 62000 831000 .8 .8 .8
node53 GPU 1070 1 16 62000 715000 .8 .8 .8
node54 GPU 1080 1 16 62000 807000 .8 .8 .8
node55 GPU 1080 1 16 31000 806000 .8 .8 .8
node56 GPU 1070 1 16 62000 758000 .8 .8 .8
node57 GPU 1070 1 16 31000 780000 .8 .8 .8
node58 GPU 2070 1 16 62000 300000 .8 .8 .8
#node59 GPU 970 0 16 251000 1900000 .8 .8 .8
node60 GPU 2070 2 8 15000 867000 .8 .8 .8
node61 GPU 1070 1 16 62000 700000 .8 .8 .8
node62 GPU 1070 1 32 62000 763000 .8 .8 .8
node63 GPU 1070 1 16 31000 768000 .8 .8 .8
node64 GPU 1070 1 16 31000 780000 .8 .8 .8
node70 GPU 2080 1 16 62000 375000 .8 .8 .8
node71 NOGPU UNK 0 16 251000 859000 .8 .8 .8
#node72 GPU 970 0 16 251000 877000 .8 .8 .8
#node73 GPU 970 0 32 251000 842000 .8 .8 .8
node74 GPU 1070 1 16 62000 380000 .8 .8 .8
node76 GPU 1070 1 16 62000 380000 .8 .8 .8
node77 GPU 1070 1 16 62000 374000 .8 .8 .8
node78 GPU 1070 1 16 62000 375000 .8 .8 .8
node79 GPU 1070 1 16 62000 379000 .8 .8 .8
node80 GPU 1070 1 16 31000 381000 .8 .8 .8
node81 GPU 1070 1 16 31000 396000 .8 .8 .8
node82 GPU 1070 1 16 31000 332000 .8 .8 .8
node83 GPU 1070 1 16 62000 810000 .8 .8 .8
node84 GPU 1070 1 16 31000 396000 .8 .8 .8
node85 GPU 1070 1 16 62000 294000 .8 .8 .8
node86 GPU 1070 1 16 31000 396000 .8 .8 .8
node87 GPU 1070 1 16 31000 730000 .8 .8 .8
node88 GPU 1070 1 16 31000 377000 .8 .8 .8
node89 GPU 1070 1 16 31000 389000 .8 .8 .8
node90 GPU 1070 1 16 31000 289000 .8 .8 .8
node91 GPU 1070 1 16 31000 394000 .8 .8 .8
node92 GPU 1070 1 16 31000 396000 .8 .8 .8
node93 GPU 1070 1 16 31000 396000 .8 .8 .8
node94 GPU 2070 1 16 31000 UNK .8 .8 .8
node95 GPU 1070 1 16 31000 380000 .8 .8 .8
node96 GPU 1070 1 16 31000 311000 .8 .8 .8
node97 GPU 1070 1 16 31000 304000 .8 .8 .8
node98 GPU 1070 1 16 62000 815000 .8 .8 .8
node99 GPU 1070 1 16 31000 396000 .8 .8 .8
node100 GPU 1070 1 16 31000 385000 .8 .8 .8
node101 GPU 1070 1 16 31000 360000 .8 .8 .8
node142 NOGPU UNK 0 32 251000 590000 .8 .8 .8
node144 NOGPU UNK 0 32 503000 3500000 .8 .8 .8
node193 GPU 2070 1 8 15000 859000 .8 .2 .8
node194 GPU 2080 1 8 15000 867000 .8 .2 .8
node195 GPU 2080 1 8 15000 843000 .8 .2 .8
node201 GPU 1070 2 8 15000 866000 .8 .2 .8
node204 GPU 1070 1 4 7000 867000 .8 .8 .8
node210 GPU 1070 2 12 15000 866000 .8 .2 .8
node211 GPU 2070 2 12 15000 867000 .8 .2 .8
node212 GPU 2080 2 8 31000 780000 .8 .8 .8
node215 NOGPU UNK 0 32 125000 531000 .8 .2 .8
#node206 GPU GV100 1 8 62000 843000 .8 .8 .8
bme-black NOGPU UNK 0 UNK UNK UNK .8 .8 .8
#bme-dna GPU 970 0 32 62000 3600000 .8 .8 .8
bme-earth NOGPU UNK 0 UNK UNK UNK .8 .8 .8
bme-jupiter GPU 2070 1 8 15000 866000 .8 .2 .8
bme-mercury GPU 3070 1 8 15000 857000 .8 .2 .8
bme-neptune GPU 1070 2 4 15000 867000 .8 .2 .8
#bme-pluto GPU 780 0 16 23000 3600000 .8 .8 .8
bme-rna GPU 3080 1 20 31000 825000 .8 .8 .8
#bme-sugar GPU 970 0 8 11000 869000 .8 .8 .8
bme-saturn GPU 1070 1 8 15000 348000 .8 .2 .8
